ID	ALIGNMENT	COGID	COGIDS	CONCEPT	DOCULECT	FORM	TOKENS	VALUE	MORPHEMES	NOTE
1177	k u ¹¹	42	527	catfish	Kayaw	ku¹¹	k u ¹¹	ku¹¹		
1178	ʔ a ¹¹ + k ɨ ⁵⁵	43	482 483	carapace, shell	Kayaw	Ɂa¹¹kɨ⁵⁵	ʔ a ¹¹ + k ɨ ⁵⁵	Ɂa¹¹kɨ⁵⁵		
1179	kʰ.!Ø/w i ¹¹	45	555	chameleon	Kayaw	khi¹¹	kʰ.!Ø/w i ¹¹	khi¹¹		
1180	s u ¹¹	46	567	charcoal	Kayaw	su¹¹	s u ¹¹	su¹¹		
1181	ɕ !i/ɔ ⁵⁵	47	579	chicken	Kayaw	ɕi⁵⁵	ɕ !i/ɔ ⁵⁵	ɕi⁵⁵	chicken	
1182	h ɛ ³³	48	592	chili pepper, pungent	Kayaw	hɛ³³	h ɛ ³³	hɛ³³		
1183	kʰ a ¹¹	49	603	chin, jaw	Kayaw	kha¹¹	kʰ a ¹¹	kha¹¹		
1184	tʰ u ¹¹	51	625	civet cat	Kayaw	thu¹¹	tʰ u ¹¹	thu¹¹		
1185	s i ¹¹	52	646	classifier (hand of bananas)	Kayaw	si¹¹	s i ¹¹	si¹¹		
1186	b a ¹¹	53	666	classifier for flat objects	Kayaw	ba¹¹	b a ¹¹	ba¹¹		
1187	!Ø/p.r a ³³	54	696	classifier for people, persons	Kayaw	ra³³	!Ø/p.r a ³³	ra³³		
1188	p.l o ¹¹	55	656	classifier for a piece of meat, cake, etc.	Kayaw	plo¹¹	p.l o ¹¹	plo¹¹		
1189	pʰ.l ə ¹¹	57	634	classfier for round objects	Kayaw	phlə¹¹	pʰ.l ə ¹¹	phlə¹¹		
1190	b o ⁵⁵	58	686	classifier for long objects	Kayaw	bo⁵⁵	b o ⁵⁵	bo⁵⁵	neck-classifier	
1191	d ə ⁵⁵	59	677	classifier for four-legged animals	Kayaw	də⁵⁵	d ə ⁵⁵	də⁵⁵		
1192	b i ¹¹	60	716	close (one’s eyes)	Kayaw	bi¹¹	b i ¹¹	bi¹¹		
1193	kʰ!Ø/w i ³³	61	725	comb (v.)	Kayaw	khi³³	kʰ!Ø/w i ³³	khi³³		
1194	l u ¹¹	62	737	cotton thread	Kayaw	lu¹¹	l u ¹¹	lu¹¹		
1195	kʰ ɨ ³³	63	750	cough (v.)	Kayaw	khɨ³³	kʰ ɨ ³³	khɨ³³		
1196	cʰ ɛ ¹¹	64	763	crab	Kayaw	chɛ¹¹	cʰ ɛ ¹¹	chɛ¹¹		
1197	k i ⁵⁵	65	776	cricket	Kayaw	_ki⁵⁵	k i ⁵⁵	(dɛ¹¹) ki⁵⁵		
1198	m a ¹¹	66	788	crocodile	Kayaw	ma¹¹	m a ¹¹	ma¹¹		
1199	k i ¹¹ + n i ⁵⁵	67	800 801	crop (of fowl), gizzard	Kayaw	ki¹¹ni⁵⁵	k i ¹¹ + n i ⁵⁵	ki¹¹ni⁵⁵		
1200	kʰ ɔ ⁵⁵	68	815	cross (v.)	Kayaw	khɔ⁵⁵	kʰ ɔ ⁵⁵	khɔ⁵⁵		
1201	kʰ.l i ¹¹	69	823	crossbow	Kayaw	khli¹¹	kʰ.l i ¹¹	khli¹¹		
1202	ʔ u ¹¹	70	835	crow (v.)	Kayaw	Ɂu¹¹	ʔ u ¹¹	Ɂu¹¹		
1203	n o ¹¹	71	848	crush (v.)	Kayaw	no¹¹	n o ¹¹	no¹¹		
1204	d i ⁵⁵	72	859	cucumber	Kayaw	di⁵⁵	d i ⁵⁵	di⁵⁵		
1205	kʰ i ³³	73	870	dark, late evening	Kayaw	khi³³	kʰ i ³³	khi³³		
1206	d ɛ ¹¹	74	883	daughter-in-law	Kayaw	dɛ¹¹	d ɛ ¹¹	dɛ¹¹		
1207	n i ³³	75	894	day	Kayaw	ni³³	n i ³³	ni³³		
1208	s i ⁵⁵	76	906	dead,die	Kayaw	si⁵⁵	s i ⁵⁵	si⁵⁵		
1209	ʔ ə ⁵⁵	77	918	deaf	Kayaw	Ɂə⁵⁵	ʔ ə ⁵⁵	Ɂə⁵⁵		
1210	kʰ i ⁵⁵	79	942	deer (barking~)	Kayaw	khi⁵⁵	kʰ i ⁵⁵	khi⁵⁵		
1211	kʰ ə ³³	80	953	deer (sambha ~)	Kayaw	khə³³	kʰ ə ³³	khə³³		
1212	w i ¹¹	81	969	delicious	Kayaw	wi¹¹	w i ¹¹	wi¹¹		
1213	l ɔ ³³	82	979	descent, go down, set	Kayaw	lɔ³³	l ɔ ³³	lɔ³³		
1214	kʰ u ¹¹	83	992	dig	Kayaw	khu¹¹	kʰ u ¹¹	khu¹¹		
1215	d u ¹¹	84	1003	dip up	Kayaw	du¹¹	d u ¹¹	du¹¹		
1216	tʰ ə ⁵⁵	85	1	Dipterocarpus tuberculatus Roxb	Kayaw	thə⁵⁵	tʰ ə ⁵⁵	thə⁵⁵		
1217	m a ¹¹	86	1013	disappear, lost	Kayaw	ma¹¹	m a ¹¹	ma¹¹		
1218	tʰ i ¹¹	87	1040	dog	Kayaw	thi¹¹	tʰ i ¹¹	thi¹¹	dog	
1219	m a ³³	88	1027	do, make	Kayaw	ma³³	m a ³³	ma³³		
1220	l i ¹¹	89	1053	dove	Kayaw	li¹¹	l i ¹¹	li¹¹		
1221	m ɔ ¹¹	90	1065	dream (v.)	Kayaw	mɔ¹¹	m ɔ ¹¹	mɔ¹¹	dream	
1222	ʔ o ⁵⁵	91	1080	drink(v.)	Kayaw	Ɂo⁵⁵	ʔ o ⁵⁵	Ɂo⁵⁵		
1223	l !o/u ⁵⁵	92	1104	dry(v.)	Kayaw	lo⁵⁵	l !o/u ⁵⁵	lo⁵⁵		
1224	m ʉ ³³	93	1091	drunk	Kayaw	mʉ³³	m ʉ ³³	mʉ³³		
1225	ʔ i ¹¹	94	1116	dung, excrement	Kayaw	Ɂi¹¹	ʔ i ¹¹	Ɂi¹¹		
1226	n a ¹¹	95	1129	ear	Kayaw	na¹¹	n a ¹¹	na¹¹	ear	
1227	j e ³³	96	1142	earthworm	Kayaw	je³³	j e ³³	je³³		
1228	j u ⁵⁵	97	1149	easy	Kayaw	ju⁵⁵	j u ⁵⁵	ju⁵⁵		
1229	ʔ ɔ ¹¹	98	1160	eat	Kayaw	Ɂɔ¹¹	ʔ ɔ ¹¹	Ɂɔ¹¹		
1230	d i ¹¹	99	1173	egg	Kayaw	di¹¹	d i ¹¹	di¹¹		
1231	k ɔ ³³	100	1186	eggplant	Kayaw	-kɔ³³	k ɔ ³³	-kɔ³³		
1232	x ɔ ¹¹	101	1195	eight	Kayaw	-xɔ¹¹	x ɔ ¹¹	-xɔ¹¹		
1233	r ɔ ¹¹ + cʰ ɔ ⁵⁵	102	1208 1207	elephant	Kayaw	rɔ¹¹chɔ⁵⁵	r ɔ ¹¹ + cʰ ɔ ⁵⁵	rɔ¹¹chɔ⁵⁵		
1234	pʰ o ³³	103	1226	embrace, hug	Kayaw	pho³³	pʰ o ³³	pho³³		
1235	n u ³³	104	1237	enter	Kayaw	nu³³	n u ³³	nu³³		
1236	cʰ u ⁵⁵	105	1247	exert forcing to expel	Kayaw	chu⁵⁵	cʰ u ⁵⁵	chu⁵⁵		
1237	p i ³³	106	1255	extinguish (t.v.)	Kayaw	pi³³	p i ³³	pi³³		
1238	t e ³³	108	1277	fall down	Kayaw	te³³	t e ³³	te³³		
1239	b u ¹¹	109	1290	fat (adj)	Kayaw	bu¹¹	b u ¹¹	bu¹¹		
1240	ɕ u ¹¹	110	1301	feather, fur, body hair	Kayaw	ɕu¹¹	ɕ u ¹¹	ɕu¹¹		
1241	k ə ³³	111	1314	feel full (after eating)	Kayaw	kə³³	k ə ³³	kə³³		
1242	m ɨ ¹¹	112	1337	female, woman	Kayaw	mɨ¹¹	m ɨ ¹¹	mɨ¹¹		
1243	m u ¹¹	113	1323	female (humans), mother	Kayaw	mu¹¹	m u ¹¹	mu¹¹		
1244	m i Ø/¹¹	114	1350	fire	Kayaw	mi	m i Ø/¹¹	mi		
1245	t ɔ ³³	115	1363	fish	Kayaw	tɔ³³	t ɔ ³³	tɔ³³		
1246	j ɛ ³³	116	1372	five	Kayaw	jɛ³³	j ɛ ³³	jɛ³³		
1247	r ə ³³	117	1385	flank, rib	Kayaw	rə³³	r ə ³³	rə³³		
1248	!k/kʰ.l e ³³	119	6	flea	Kayaw	kle³³	!k/kʰ.l e ³³	kle³³		
1249	j a ¹¹	120	1420	flesh, meat	Kayaw	ja¹¹	j a ¹¹	ja¹¹		
1250	pʰ o ⁵⁵	121	1432	flower	Kayaw	pho⁵⁵	pʰ o ⁵⁵	pho⁵⁵		
1251	p e ³³	122	1455	forget	Kayaw	pe³³	p e ³³	pe³³		
1252	k.Ø/l a ⁵⁵	123	1443	forest, jungle	Kayaw	ka⁵⁵	k.Ø/l a ⁵⁵	ka⁵⁵		
1253	l i ⁵⁵	124	1464	four	Kayaw	li⁵⁵	l i ⁵⁵	li⁵⁵		
1254	tʰ i ¹¹ + m i ³³	125	1040 316	fox, wolf	Kayaw	thi¹¹mi³³	tʰ i ¹¹ + m i ³³	thi¹¹mi³³	dog wild	
1255	d i ¹¹	126	1498	frog	Kayaw	di¹¹	d i ¹¹	di¹¹	frog	
1256	s a ¹¹	128	1519	fruit	Kayaw	sa¹¹	s a ¹¹	sa¹¹		
1257	b ɛ ⁵⁵	129	1530	full	Kayaw	bɛ⁵⁵	b ɛ ⁵⁵	bɛ⁵⁵		
1258	ʔ e ⁵⁵	130	1539	ginger	Kayaw	Ɂe⁵⁵	ʔ e ⁵⁵	Ɂe⁵⁵		
1259	l ɛ ³³	131	1554	go	Kayaw	lɛ³³	l ɛ ³³	lɛ³³		
1260	d ɛ ¹¹	132	1577	grasshopper	Kayaw	dɛ¹¹	d ɛ ¹¹	dɛ¹¹		
1261	l i ³³	133	1565	grandchild	Kayaw	li³³	l i ³³	li³³		
1262	l u ³³	134	1588	great-grandchild	Kayaw	lu³³	l u ³³	lu³³		
1263	l a ³³	135	1599	great-great-gandchild	Kayaw	la³³	l a ³³	la³³		
1264	kʰ u ¹¹ + l u ³³	136	1611 1612	hair (head~)	Kayaw	khu¹¹lu³³	kʰ u ¹¹ + l u ³³	khu¹¹lu³³	*khuB hair	
1265	t u ¹¹	137	1632	handle	Kayaw	tu¹¹	t u ¹¹	tu¹¹		
1266	k.l ə ¹¹	138	1643	hat	Kayaw	klə¹¹	k.l ə ¹¹	klə¹¹		
1267	l e ³³	139	1664	hawk, eagle	Kayaw	le³³	l e ³³	le³³		
1268	ʔ o ¹¹	140	1652	have, be, exist, stay, there is	Kayaw	Ɂo¹¹	ʔ o ¹¹	Ɂo¹¹	exist	
1269	k.!Ø/l ɨ ³³	141	1676	head	Kayaw	kɨ³³	k.!Ø/l ɨ ³³	kɨ³³~kə³³	head	
1270	s ɔ ³³	142	1687	heart	Kayaw	sɔ³³	s ɔ ³³	sɔ³³		
1271	tʰ ə ¹¹	143	1700	heavy	Kayaw	thə¹¹	tʰ ə ¹¹	thə¹¹		
1272	s o ¹¹	144	1708	hemp	Kayaw	so¹¹	s o ¹¹	so¹¹		
1273	k !a/ɔ ¹¹	145	1720	hip	Kayaw	ka¹¹	k !a/ɔ ¹¹	ka¹¹		
1274	!tʰ/t ə ¹¹	146	1732	hit hard (with a fist)	Kayaw	thə¹¹	!tʰ/t ə ¹¹	thə¹¹		
1275	n ə Ø/¹¹	147	1742	horn	Kayaw	nə	n ə Ø/¹¹	nə		
1276	pʰ.r ɨ ⁵⁵	148	1755	hornet	Kayaw	phrɨ⁵⁵	pʰ.r ɨ ⁵⁵	phrɨ⁵⁵		
1277	s i ³³ + - r i ³³	149	1767 1769	horse	Kayaw	si³³ri³³	s i ³³ + r i ³³	si³³ri³³		
1278	j a ³³	150	1786	hundred	Kayaw	ja³³	j a ³³	ja³³		
1279	w !u/a ³³	151	1803	husband	Kayaw	wu³³	w !u/a ³³	wu³³		
1280	cʰ a ⁵⁵	152	1815	ill, painful, sick	Kayaw	cha⁵⁵	cʰ a ⁵⁵	cha⁵⁵		
1281	c a ¹¹	153	1829	insect	Kayaw	ca¹¹	c a ¹¹	ca¹¹	insect	
1282	p.r e ³³	154	1840	intestines	Kayaw	pre³³	p.r e ³³	pre³³		
1283	tʰ ɔ ³³	155	1853	iron	Kayaw	thɔ³³	tʰ ɔ ³³	thɔ³³		
1284	s ɔ ³³	156	1866	itchy	Kayaw	sɔ³³	s ɔ ³³	sɔ³³		
1285	l i ¹¹	157	1878	kidney	Kayaw	li¹¹	l i ¹¹	li¹¹		
1286	l a ¹¹	158	1894	leaf	Kayaw	la¹¹	l a ¹¹	la¹¹		
1287	s !u/ɔ ³³	159	1907	leech (land~)	Kayaw	su³³	s !u/ɔ ³³	su³³		
1288	s u ¹¹ + l i ³³	160	1920 1921	leech (water~)	Kayaw	su¹¹li³³	s u ¹¹ + l i ³³	su¹¹li³³		
1289	c i ¹¹	161	1934	left (side)	Kayaw	ci¹¹	c i ¹¹	ci¹¹		
1290	kʰ ɔ ¹¹	162	1947	leg	Kayaw	khɔ¹¹	kʰ ɔ ¹¹	khɔ¹¹		
1291	p.l e ³³	163	1959	lemur (flying~), flying squirrel	Kayaw	ple³³	p.l e ³³	ple³³		
1292	l i ¹¹	164	1971	lick (v.)	Kayaw	li¹¹	l i ¹¹	li¹¹		
1293	m i ⁵⁵	165	1981	lie down, sleep	Kayaw	mi⁵⁵	m i ⁵⁵	mi⁵⁵	sleep	
1294	pʰ i ⁵⁵	166	1993	light (~weight)	Kayaw	phi⁵⁵	pʰ i ⁵⁵	phi⁵⁵		
1295	p.l a ¹¹	168	46	linear measure of about half a yard (closed-hand)	Kayaw	pla¹¹	p.l a ¹¹	pla¹¹	arrow	
1296	t ɨ ³³	169	2025	linear measure of about half a yard (open-hand)	Kayaw	tɨ³³	t ɨ ³³	tɨ³³		
1297	n a ¹¹	171	2046	listen to	Kayaw	na¹¹	n a ¹¹	na¹¹	ear-listen	
1298	ʔ o ¹¹	172	2059	live, stay	Kayaw	Ɂo¹¹	ʔ o ¹¹	Ɂo¹¹	live-exist	
1299	β ʉ ¹¹	173	2073	liver	Kayaw	~βʉ¹¹	β ʉ ¹¹	~βʉ¹¹		
1300	j i ³³	174	2098	long (of time)	Kayaw	ji³³	j i ³³	ji³³		
1301	tʰ u ⁵⁵	175	2086	long (of length), tall, high	Kayaw	thu⁵⁵	tʰ u ⁵⁵	thu⁵⁵		
1302	p ə ¹¹	176	2111	look after (things)	Kayaw	pə¹¹	p ə ¹¹	pə¹¹		
1303	cʰ ə ⁵⁵	177	2120	loris	Kayaw	chə⁵⁵	cʰ ə ⁵⁵	chə⁵⁵		
1304	ɕ !i/ɔ ⁵⁵ + c a ¹¹	178	579 1829	louse (chicken~), insect	Kayaw	ɕi⁵⁵ca¹¹	ɕ !i/ɔ ⁵⁵ + c a ¹¹	ɕi⁵⁵ca¹¹	chicken insect	
1305	s ɨ ¹¹	179	2153	louse (head~)	Kayaw	sɨ¹¹	s ɨ ¹¹	sɨ¹¹	louse	
1306	s u ¹¹	180	2166	lung	Kayaw	su¹¹	s u ¹¹	su¹¹		
1307	l ə ¹¹	181	2180	maggot	Kayaw	lə¹¹	l ə ¹¹	lə¹¹		
1308	pʰ a ⁵⁵	182	2193	male (of animals), father	Kayaw	pha⁵⁵	pʰ a ⁵⁵	pha⁵⁵		
1309	kʰ.!Ø/w u ⁵⁵	183	2205	man, male	Kayaw	khu⁵⁵	kʰ.!Ø/w u ⁵⁵	khu⁵⁵		
1310	kʰ o ³³	184	2219	mango	Kayaw	kho³³	kʰ o ³³	kho³³		
1311	t e ¹¹ + w e ³³	187	13 2255	milipede	Kayaw	te¹¹we³³	t e ¹¹ + w e ³³	te¹¹we³³		
1312	j u ¹¹ + w i ³³	188	2349 2279	mole	Kayaw	ju¹¹wi³³	j u ¹¹ + w i ³³	ju¹¹wi³³	muroid mole	
1313	r u ⁵⁵	189	2294	money	Kayaw	ru⁵⁵	r u ⁵⁵	ru⁵⁵		
1314	t.r e ⁵⁵	191	2311	monitor lizard (water~)	Kayaw	tre⁵⁵	t.r e ⁵⁵	tre⁵⁵~te⁵⁵re⁵⁵		
1315	j ə ³³	192	2320	monkey	Kayaw	jə³³	j ə ³³	jə³³		
1316	l a ⁵⁵	193	2328	moon, month	Kayaw	la⁵⁵	l a ⁵⁵	la⁵⁵		
1317	m ə ¹¹	194	2341	mother, female (of animals)	Kayaw	mə¹¹	m ə ¹¹	mə¹¹		
1318	j u ¹¹	195	2349	mouse, rat	Kayaw	ju¹¹	j u ¹¹	ju¹¹	muroid	
1319	s a ¹¹ + r !a/ɔ ¹¹	196	2363 2362	mynah	Kayaw	sa¹¹ra¹¹	s a ¹¹ + r !a/ɔ ¹¹	sa¹¹ra¹¹		
1320	m i ¹¹	197	2372	nail	Kayaw	mi¹¹	m i ¹¹	mi¹¹		
1321	m i ³³	198	2388	name	Kayaw	mi³³	m i ³³	mi³³		
1322	ʔ i ¹¹	199	2401	narrow	Kayaw	-_Ɂi¹¹	ʔ i ¹¹	- Ɂi¹¹		
1323	d i ³³	200	2413	navel, umbilical cord	Kayaw	di³³	d i ³³	di³³	navel	
1324	k o ³³ + b o ⁵⁵	201	2428 2429	neck, cheek	Kayaw	ko³³bo⁵⁵	k o ³³ + b o ⁵⁵	ko³³bo⁵⁵	/kho neck	
1325	s !a/ɔ ⁵⁵	202	2442	new	Kayaw	sa⁵⁵	s !a/ɔ ⁵⁵	sa⁵⁵		!borrowing
1326	s ɔ ³³ + !kʰ/kʰ.w i ⁵⁵	203	2455 2454	nine	Kayaw	sɔ³³khi⁵⁵	s ɔ ³³ + !kʰ/kʰ.w i ⁵⁵	sɔ³³khi⁵⁵		
1327	n i ¹¹	204	2468	obtain, receive, take, get	Kayaw	ni¹¹	n i ¹¹	ni¹¹		
1328	p.r a ¹¹	205	2480	old (of humans)	Kayaw	pra¹¹	p.r a ¹¹	pra¹¹		
1329	l i ³³	206	2493	old (of things)	Kayaw	li³³	l i ³³	li³³		
1330	t Ø/ə Ø/⁰	207	2505	one	Kayaw	t-	t Ø/ə Ø/⁰	t-		
1331	ʔ ɔ ⁵⁵	208	2520	open (the mouth)	Kayaw	Ɂɔ⁵⁵	ʔ ɔ ⁵⁵	Ɂɔ⁵⁵		
1332	p u ¹¹	209	2531	ox, bull, cow	Kayaw	pu¹¹	p u ¹¹	pu¹¹		
1333	j u ³³	211	2547	pangolin, anteater	Kayaw	ju³³	j u ³³	ju³³		
1334	k i ¹¹	212	2559	parrot, parakeet	Kayaw	ki¹¹	k i ¹¹	ki¹¹		
1335	k.l ɛ ³³	213	2570	path, trail, way	Kayaw	klɛ³³	k.l ɛ ³³	klɛ³³		
1336	p.r ɔ ³³	214	2579	peacock	Kayaw	prɔ³³	p.r ɔ ³³	prɔ³³		
1337	p o ³³	215	2590	pen, coop	Kayaw	po³³	p o ³³	po³³		
1338	tʰ i ¹¹	216	2604	penis	Kayaw	thi¹¹	tʰ i ¹¹	thi¹¹		
1339	r e ³³	217	2616	pheasant	Kayaw	-_re³³	r e ³³	- re³³		
1340	tʰ o ³³	218	315	pig	Kayaw	tho³³	tʰ o ³³	tho³³	pig	
1341	p.l ə ¹¹	219	2637	pile	Kayaw	plə¹¹	p.l ə ¹¹	plə¹¹		
1342	c u ⁵⁵	220	2649	pointed (as of needles), sharp point	Kayaw	cu⁵⁵	c u ⁵⁵	cu⁵⁵		
1343	tʰ u ¹¹	221	2662	pole	Kayaw	thu¹¹	tʰ u ¹¹	thu¹¹		
1344	s u ¹¹	222	2673	porcupine	Kayaw	su¹¹	s u ¹¹	su¹¹		
1345	s a ⁵⁵ + b a ⁵⁵	223	2682 2683	porcupine (brush-tailed~)	Kayaw	sa⁵⁵ba⁵⁵	s a ⁵⁵ + b a ⁵⁵	sa⁵⁵ba⁵⁵		
1346	p ə ³³	224	2693	pot	Kayaw	pə³³	p ə ³³	pə³³		
1347	t o ¹¹	225	2708	pound (v.)	Kayaw	to¹¹	t o ¹¹	to¹¹		
1348	tʰ e ³³	226	2718	pull up	Kayaw	the³³	tʰ e ³³	the³³		
1349	l u ¹¹	227	2725	pumpkin (ash~)	Kayaw	lu¹¹	l u ¹¹	lu¹¹		
1350	cʰ ɔ ¹¹	228	2735	push	Kayaw	chɔ¹¹	cʰ ɔ ¹¹	chɔ¹¹		
1351	s o ³³	229	2755	put on, wear	Kayaw	so³³	s o ³³	so³³		
1352	l e ³³	230	2744	put on (a necklace), wear	Kayaw	le³³	l e ³³	le³³		
1353	l i ¹¹	231	2769	put out (the tongue)	Kayaw	li¹¹	l i ¹¹	li¹¹		
1354	r i ³³	232	2778	quail	Kayaw	ri³³	r i ³³	ri³³		
1355	d ɛ ⁵⁵	233	2791	rabbit, hare	Kayaw	dɛ⁵⁵	d ɛ ⁵⁵	dɛ⁵⁵		
1356	b ə ¹¹	234	2804	raise, feed (animals)	Kayaw	bə¹¹	b ə ¹¹	bə¹¹		
1357	r i ¹¹	235	2813	rattan	Kayaw	ri¹¹	r i ¹¹	ri¹¹		
1358	b ə ³³	236	2825	reach into	Kayaw	bə³³	b ə ³³	bə³³		
1359	tʰ ə ³³	237	2836	resin	Kayaw	thə³³	tʰ ə ³³	thə³³		
1360	tʰ ɛ ⁵⁵	238	2846	right (side)	Kayaw	thɛ⁵⁵	tʰ ɛ ⁵⁵	thɛ⁵⁵		
1361	m i ⁵⁵	239	2858	ripe, cooked	Kayaw	mi⁵⁵	m i ⁵⁵	mi⁵⁵		
1362	t e ³³	240	2871	roast (by stuffing into fresh bamboo sections)	Kayaw	te³³	t e ³³	te³³		
1363	r i ¹¹	241	2881	root	Kayaw	ri¹¹	r i ¹¹	ri¹¹		
1364	s ə ⁵⁵	242	2893	rotten, bad smell	Kayaw	sə⁵⁵	s ə ⁵⁵	sə⁵⁵		
1365	tʰ ɨ ³³	243	2901	rub, clean, polish, scrub	Kayaw	-_thɨ³³	tʰ ɨ ³³	- thɨ³³		
1366	s a ¹¹	244	2910	salt	Kayaw	sa¹¹	s a ¹¹	sa¹¹		
1367	cʰ ɨ ⁵⁵	245	2922	salty, sweet	Kayaw	chɨ⁵⁵	cʰ ɨ ⁵⁵	chɨ⁵⁵		
1368	m e ³³	246	2934	sand	Kayaw	me³³	m e ³³	me³³		
1369	b e ¹¹	247	2942	scale (of fish)	Kayaw	be¹¹	b e ¹¹	be¹¹		
1370	cʰ a ⁵⁵	248	2953	sell	Kayaw	cha⁵⁵	cʰ a ⁵⁵	cha⁵⁵		
1371	j i ³³	249	2966	serow, mountain goat	Kayaw	ji³³	j i ³³	ji³³		
1372	s ɔ ³³ + n e ⁵⁵	250	2974 2973	seven	Kayaw	sɔ³³ne⁵⁵	s ɔ ³³ + n e ⁵⁵	sɔ³³ne⁵⁵		
1373	cʰ ɔ ³³	251	2986	sew	Kayaw	chɔ³³	cʰ ɔ ³³	chɔ³³		
1374	tʰ ɔ ⁵⁵	252	2999	sharp	Kayaw	thɔ⁵⁵	tʰ ɔ ⁵⁵	thɔ⁵⁵		
1375	s !o/u ⁵⁵	253	3006	sheep	Kayaw	so⁵⁵	s !o/u ⁵⁵	so⁵⁵		
1376	k ɔ ¹¹ + n o ³³	254	3018 3017	shivering	Kayaw	kɔ¹¹no³³	k ɔ ¹¹ + n o ³³	kɔ¹¹no³³	_:prefix/k shiver	
1377	kʰ a ³³	255	3034	shoot (v.)	Kayaw	kha³³	kʰ a ³³	kha³³		
1378	pʰ ə ¹¹	256	3047	short, low	Kayaw	-_phə¹¹	pʰ ə ¹¹	- phə¹¹		
1379	p.l e ⁵⁵	257	3059	shoulder	Kayaw	ple⁵⁵	p.l e ⁵⁵	ple⁵⁵		
1380	tʰ ʉ ⁵⁵	258	3067	shove (with the foot)	Kayaw	thʉ⁵⁵	tʰ ʉ ⁵⁵	thʉ⁵⁵		
1381	p.l e ³³	260	3088	skink	Kayaw	ple³³	p.l e ³³	ple³³		
1382	m i ⁵⁵ + n i ¹¹	261	1981 3103	sleeping	Kayaw	mi⁵⁵ni¹¹	m i ⁵⁵ + n i ¹¹	mi⁵⁵ni¹¹	sleep lie-down	
1383	p.l i ⁵⁵	262	3113	slippery	Kayaw	pli⁵⁵	p.l i ⁵⁵	pli⁵⁵		
1384	n ɨ ³³	263	3125	smell (v.)	Kayaw	nɨ³³	n ɨ ³³	nɨ³³		
1385	s i ¹¹ + m i ¹¹	265	3145 3144	snail (water~)	Kayaw	si¹¹mi¹¹	s i ¹¹ + m i ¹¹	si¹¹mi¹¹		
1386	r u ¹¹	266	3154	snake	Kayaw	ru¹¹	r u ¹¹	ru¹¹		
1387	m ɔ ³³	267	3167	son-in-law	Kayaw	mɔ³³	m ɔ ³³	mɔ³³		
1388	ɕ !i/ɔ ¹¹	268	3179	sour	Kayaw	ɕi¹¹	ɕ !i/ɔ ¹¹	ɕi¹¹		
1389	k ɔ ³³	269	3192	spider	Kayaw	kɔ³³	k ɔ ³³	kɔ³³		
1390	m ɔ ⁵⁵	271	3215	spleen	Kayaw	mɔ⁵⁵	m ɔ ⁵⁵	mɔ⁵⁵		
1391	p.l a ¹¹	272	3227	split (bamboo strip)	Kayaw	pla¹¹	p.l a ¹¹	pla¹¹		
1392	pʰ.r u ⁵⁵	273	3236	spray (v.)	Kayaw	phru⁵⁵	pʰ.r u ⁵⁵	phru⁵⁵		
1393	d a ⁵⁵	274	3246	spread out (a mat)	Kayaw	da⁵⁵	d a ⁵⁵	da⁵⁵		
1394	c i ¹¹	275	3259	squeeze, massage	Kayaw	ci¹¹	c i ¹¹	ci¹¹		
1395	!t/tʰ ə ¹¹	277	3282	stand (v.)	Kayaw	tə¹¹	!t/tʰ ə ¹¹	tə¹¹		
1396	cʰ a ¹¹	278	3295	star	Kayaw	cha¹¹	cʰ a ¹¹	cha¹¹		
1397	h u ¹¹	279	3308	steal (v.)	Kayaw	hu¹¹	h u ¹¹	hu¹¹		
1398	c i ¹¹	280	3317	stingy	Kayaw	ci¹¹	c i ¹¹	ci¹¹		
1399	pʰ u ⁵⁵	281	3324	stomach	Kayaw	phu⁵⁵	pʰ u ⁵⁵	phu⁵⁵		
1400	l ə ¹¹	282	3338	stone, rock	Kayaw	lə¹¹	l ə ¹¹	lə¹¹		
1401	p.l i ³³	283	3351	string, rope	Kayaw	pli³³	p.l i ³³	pli³³		
1402	c i ³³	284	3364	suck	Kayaw	ci³³	c i ³³	ci³³		
1403	m ɨ ¹¹	285	3375	sun	Kayaw	mɨ¹¹	m ɨ ¹¹	mɨ¹¹	sun	
1404	k u ¹¹	286	3388	sunlight, hot	Kayaw	ku¹¹	k u ¹¹	ku¹¹		
1405	tʰ u ¹¹	287	3402	sway, swing	Kayaw	thu¹¹	tʰ u ¹¹	thu¹¹		
1406	j o ³³	288	3410	swollen, swelling	Kayaw	jo³³	j o ³³	jo³³		
1407	m i ¹¹	289	3423	tail	Kayaw	mi¹¹	m i ¹¹	mi¹¹	tail	
1408	ɕ i ⁵⁵	291	3445	ten	Kayaw	ɕi⁵⁵	ɕ i ⁵⁵	ɕi⁵⁵		
1409	p i ¹¹ + ʔ i ¹¹	294	3485 3486	termite (winged~)	Kayaw	pi¹¹Ɂi¹¹	p i ¹¹ + ʔ i ¹¹	pi¹¹Ɂi¹¹		
1410	p.l ə ¹¹	295	3500	termite mound	Kayaw	plə¹¹	p.l ə ¹¹	plə¹¹		
1411	d ʉ ⁵⁵	296	3511	thick	Kayaw	dʉ⁵⁵	d ʉ ⁵⁵	dʉ⁵⁵		
1412	r e ⁵⁵	298	3528	thousand	Kayaw	re⁵⁵	r e ⁵⁵	re⁵⁵, tho³³		
